"CountryCode","SeriesCode","DESCRIPTION",
"BEN","IT.CEL.SETS.P2","Office des Postes et Télécommunications (OPT).",
"BEN","IT.MLT.MAIN.P2","Office des Postes et Télécommunications (OPT).",
"BEN","IT.NET.BBND.P2","Office des Postes et Télécommunications (OPT).",
"BEN","IT.NET.USER.ZS","Office des Postes et Télécommunications (OPT).",
"BEN","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"BEN","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"BEN","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"BEN","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BEN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BFA","IT.CEL.SETS.P2","Office National des Télécommunications (ONATEL). 1997-2000: Direction Générale de l'Office National des Télécommunications.",
"BFA","IT.MLT.MAIN.P2","Office National des Télécommunications (ONATEL). 1997-2000: Direction Générale de l'Office National des Télécommunications.",
"BFA","IT.NET.BBND.P2","Office National des Télécommunications (ONATEL). 1997-2000: Direction Générale de l'Office National des Télécommunications.",
"BFA","IT.NET.USER.ZS","Office National des Télécommunications (ONATEL). 1997-2000: Direction Générale de l'Office National des Télécommunications.",
"BFA","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"BFA","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"BFA","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"BFA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BFA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BGD","IT.CEL.SETS.P2","Bangladesh Telegraph and Telephone Board. From 2002: Bangladesh Telecommunication Regulatory Commission.",
"BGD","IT.MLT.MAIN.P2","Bangladesh Telegraph and Telephone Board. From 2002: Bangladesh Telecommunication Regulatory Commission.",
"BGD","IT.NET.BBND.P2","Bangladesh Telegraph and Telephone Board. From 2002: Bangladesh Telecommunication Regulatory Commission.",
"BGD","IT.NET.USER.ZS","Bangladesh Telegraph and Telephone Board. From 2002: Bangladesh Telecommunication Regulatory Commission.",
"BGD","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"BGD","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"BGD","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"BGD","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BGD","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BGR","IT.CEL.SETS.P2","Bulgarian Telecommunications Company Ltd. From 2002: Communications Regulation Commission.",
"BGR","IT.MLT.MAIN.P2","Bulgarian Telecommunications Company Ltd. From 2002: Communications Regulation Commission.",
"BGR","IT.NET.BBND.P2","Bulgarian Telecommunications Company Ltd. From 2002: Communications Regulation Commission.",
"BGR","IT.NET.USER.ZS","Bulgarian Telecommunications Company Ltd. From 2002: Communications Regulation Commission.",
"BGR","SP.DYN.LE00.FE.IN","Data sources : Eurostat",
"BGR","SP.DYN.LE00.MA.IN","Data sources : Eurostat",
"BGR","SP.DYN.TFRT.IN","Data sources : Eurostat",
"BGR","SP.POP.GROW","Data sources : Eurostat",
"BGR","SP.POP.TOTL","Data sources : Eurostat",
"BHR","IT.CEL.SETS.P2","Bahrain Telecommunications Company. From 2004: Telecommunications Regulatory Authority (TRA).",
"BHR","IT.MLT.MAIN.P2","Bahrain Telecommunications Company. From 2004: Telecommunications Regulatory Authority (TRA).",
"BHR","IT.NET.BBND.P2","Bahrain Telecommunications Company. From 2004: Telecommunications Regulatory Authority (TRA).",
"BHR","IT.NET.USER.ZS","Bahrain Telecommunications Company. From 2004: Telecommunications Regulatory Authority (TRA).",
"BHR","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"BHR","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"BHR","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"BHR","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BHR","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BHS","IT.CEL.SETS.P2","Batelco, Bahamas Telecommunications Corporation.",
"BHS","IT.MLT.MAIN.P2","Batelco, Bahamas Telecommunications Corporation.",
"BHS","IT.NET.BBND.P2","Batelco, Bahamas Telecommunications Corporation.",
"BHS","IT.NET.USER.ZS","Batelco, Bahamas Telecommunications Corporation.",
"BHS","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"BHS","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"BHS","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"BHS","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BHS","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BIH","IT.CEL.SETS.P2","Public Enterprise PTT Bosnia and Herzegovina (PTT BIH). From 2002: Communications Regulatory Agency B & H.",
"BIH","IT.MLT.MAIN.P2","Public Enterprise PTT Bosnia and Herzegovina (PTT BIH). From 2002: Communications Regulatory Agency B & H.",
"BIH","IT.NET.BBND.P2","Public Enterprise PTT Bosnia and Herzegovina (PTT BIH). From 2002: Communications Regulatory Agency B & H.",
"BIH","IT.NET.USER.ZS","Public Enterprise PTT Bosnia and Herzegovina (PTT BIH). From 2002: Communications Regulatory Agency B & H.",
"BIH","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"BIH","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"BIH","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"BIH","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BIH","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BLR","IT.CEL.SETS.P2","Beltelecom. From 2003: Ministry of Communications and Informatization.",
"BLR","IT.MLT.MAIN.P2","Beltelecom. From 2003: Ministry of Communications and Informatization.",
"BLR","IT.NET.BBND.P2","Beltelecom. From 2003: Ministry of Communications and Informatization.",
"BLR","IT.NET.USER.ZS","Beltelecom. From 2003: Ministry of Communications and Informatization.",
"BLR","SP.DYN.LE00.FE.IN","Data sources : Statistical Year Book; Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research; Eurostat; TransMONEE",
"BLR","SP.DYN.LE00.MA.IN","Data sources : Statistical Year Book; Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research; Eurostat; TransMONEE",
"BLR","SP.DYN.TFRT.IN","Data sources : Eurostat, Center for Demography and Human Ecology, United Nations World Population Prospects",
"BLR","SP.POP.GROW","Data sources: National Statistical Committee of the Republic of Belarus",
"BLR","SP.POP.TOTL","Data sources : National Statistical Committee of the Republic of Belarus",
"BLZ","IT.CEL.SETS.P2","Belize Telecommunications Ltd (BTL).",
"BLZ","IT.MLT.MAIN.P2","Belize Telecommunications Ltd (BTL).",
"BLZ","IT.NET.BBND.P2","Belize Telecommunications Ltd (BTL).",
"BLZ","IT.NET.USER.ZS","Belize Telecommunications Ltd (BTL).",
"BLZ","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"BLZ","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"BLZ","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"BLZ","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BLZ","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BMU","IT.CEL.SETS.P2","The Bermuda Telephone Company Limited (Bermuda Telephone). From 2001: Ministry of Energy,Telecommunications and E-Commerce; Dept of Telecommunications",
"BMU","IT.MLT.MAIN.P2","The Bermuda Telephone Company Limited (Bermuda Telephone). From 2001: Ministry of Energy,Telecommunications and E-Commerce; Dept of Telecommunications",
"BMU","IT.NET.BBND.P2","The Bermuda Telephone Company Limited (Bermuda Telephone). From 2001: Ministry of Energy,Telecommunications and E-Commerce; Dept of Telecommunications",
"BMU","IT.NET.USER.ZS","The Bermuda Telephone Company Limited (Bermuda Telephone). From 2001: Ministry of Energy,Telecommunications and E-Commerce; Dept of Telecommunications",
"BMU","SP.DYN.LE00.FE.IN","Data sources : Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report",
"BMU","SP.DYN.LE00.MA.IN","Data sources : Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report",
"BMU","SP.DYN.TFRT.IN","Data sources : Bermuda Government Department of Statistics, United Nations Population and Vital Statistics Report",
"BMU","SP.POP.GROW","Data sources: Bermuda Government Department of Statistics",
"BMU","SP.POP.TOTL","Data sources : Bermuda Government Department of Statistics",
"BOL","IT.CEL.SETS.P2","Until 1998: Empresa Nacional de Telecomunicaciones (ENTEL). Superintendencia de Telecomunicaciones.",
"BOL","IT.MLT.MAIN.P2","Until 1998: Empresa Nacional de Telecomunicaciones (ENTEL). Superintendencia de Telecomunicaciones.",
"BOL","IT.NET.BBND.P2","Until 1998: Empresa Nacional de Telecomunicaciones (ENTEL). Superintendencia de Telecomunicaciones.",
"BOL","IT.NET.USER.ZS","Until 1998: Empresa Nacional de Telecomunicaciones (ENTEL). Superintendencia de Telecomunicaciones.",
"BOL","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"BOL","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"BOL","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"BOL","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BOL","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BRA","IT.CEL.SETS.P2","Telecomunicaçoes Brasileiras S.A. From 1998: Agência Nacional de Telecomunicações (ANATEL).",
"BRA","IT.MLT.MAIN.P2","Telecomunicaçoes Brasileiras S.A. From 1998: Agência Nacional de Telecomunicações (ANATEL).",
"BRA","IT.NET.BBND.P2","Telecomunicaçoes Brasileiras S.A. From 1998: Agência Nacional de Telecomunicações (ANATEL).",
"BRA","IT.NET.USER.ZS","Telecomunicaçoes Brasileiras S.A. From 1998: Agência Nacional de Telecomunicações (ANATEL).",
"BRA","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"BRA","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"BRA","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"BRA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BRA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BRB","IT.CEL.SETS.P2","Cable and Wireless (Barbados) Limited. From 2003: Ministry of Energy and Public Utilities.",
"BRB","IT.MLT.MAIN.P2","Cable and Wireless (Barbados) Limited. From 2003: Ministry of Energy and Public Utilities.",
"BRB","IT.NET.BBND.P2","Cable and Wireless (Barbados) Limited. From 2003: Ministry of Energy and Public Utilities.",
"BRB","IT.NET.USER.ZS","Cable and Wireless (Barbados) Limited. From 2003: Ministry of Energy and Public Utilities.",
"BRB","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"BRB","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"BRB","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"BRB","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BRB","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BRN","IT.CEL.SETS.P2","Jabatan Telekom Brunei (JTB). Ministry of Communications. From 2002: Authority for Info-communications Technology Industry of Brunei Darussalam (AiTi.)",
"BRN","IT.MLT.MAIN.P2","Jabatan Telekom Brunei (JTB). Ministry of Communications. From 2002: Authority for Info-communications Technology Industry of Brunei Darussalam (AiTi.)",
"BRN","IT.NET.BBND.P2","Jabatan Telekom Brunei (JTB). Ministry of Communications. From 2002: Authority for Info-communications Technology Industry of Brunei Darussalam (AiTi.)",
"BRN","IT.NET.USER.ZS","Jabatan Telekom Brunei (JTB). Ministry of Communications. From 2002: Authority for Info-communications Technology Industry of Brunei Darussalam (AiTi.)",
"BRN","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"BRN","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"BRN","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"BRN","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BRN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BTN","IT.CEL.SETS.P2","Bhutan Information, Communications and Media Authority, Ministry of Information and Communications.",
"BTN","IT.MLT.MAIN.P2","Bhutan Information, Communications and Media Authority, Ministry of Information and Communications.",
"BTN","IT.NET.BBND.P2","Bhutan Information, Communications and Media Authority, Ministry of Information and Communications.",
"BTN","IT.NET.USER.ZS","Bhutan Information, Communications and Media Authority, Ministry of Information and Communications.",
"BTN","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"BTN","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"BTN","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"BTN","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BTN","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"BWA","IT.CEL.SETS.P2","Botswana Telecommunication Corporation. From 2003: Botswana Telecommunications Authority (BTA).",
"BWA","IT.MLT.MAIN.P2","Botswana Telecommunication Corporation. From 2003: Botswana Telecommunications Authority (BTA).",
"BWA","IT.NET.BBND.P2","Botswana Telecommunication Corporation. From 2003: Botswana Telecommunications Authority (BTA).",
"BWA","IT.NET.USER.ZS","Botswana Telecommunication Corporation. From 2003: Botswana Telecommunications Authority (BTA).",
"BWA","SP.DYN.LE00.FE.IN","Data sources : United Nations World Population Prospects",
"BWA","SP.DYN.LE00.MA.IN","Data sources : United Nations World Population Prospects",
"BWA","SP.DYN.TFRT.IN","Data sources : United Nations World Population Prospects",
"BWA","SP.POP.GROW","Data sources: United Nations World Population Prospects",
"BWA","SP.POP.TOTL","Data sources : United Nations World Population Prospects",
"CAF","IT.CEL.SETS.P2","Société Centrafricaine de Télécommunications (SOCATEL).",
"CAF","IT.MLT.MAIN.P2","Société Centrafricaine de Télécommunications (SOCATEL).",
"CAF","IT.NET.BBND.P2","Société Centrafricaine de Télécommunications (SOCATEL).",
